Action,Item,Invested,Net Profit,Value,Buy,Sell,Profile
Buy,SPX500,2.6121,-3.5105,2.8681723299032957,4716.09,4715.34,fijnje
Buy,NASDAQ100,4.408,-8.8446,4.572477963893263,16425.6,16423.2,fijnje
Buy,DJ30,2.6121,-7.1966,2.7586027773232926,35900.75,35894.75,fijnje
Buy,Bitcoin Cash,2.9496,-82.4268,0.5898554832232908,621.05,609.37,fijnje
Buy,XRP,10.5986,-61.7573,4.612396623519823,1.0383,1.0124,fijnje
Buy,Dash,2.8733,-86.2092,0.45092544869787393,206.95,201.04,fijnje
Buy,Alphabet,5.3386,1.1907,5.510555629424607,2937.111,2930.7599,eddyb123
Buy,Meta Platforms Inc,3.3811,31.8446,4.547256621948865,341.5571,340.803,eddyb123
Buy,Microsoft,3.559,1.8296,3.696896459261113,338.1942,337.536,eddyb123
Buy,Amazon,3.0252,11.879,3.4524790208809804,3583.6524,3575.9687,eddyb123
Buy,"First Solar, Inc.",2.1354,-9.5639,1.969953073637109,108.4775,108.1726,eddyb123
Buy,"Netflix, Inc.",3.559,-2.9773,3.5223794786148956,658.9325,657.3279,eddyb123
Buy,"Baidu, Inc.",1.7795,-7.0411,1.68742332074273,151.6163,151.2937,eddyb123
Buy,Check Point Software Technologies,1.7795,-2.9739,1.7612529104439998,111.7004,111.4796,eddyb123
Buy,Alibaba,2.6693,-33.892,1.8000229831517836,136.7329,136.3372,eddyb123
Buy,Spotify ,3.559,-17.0268,3.012318791382935,250.0448,249.3754,eddyb123
Buy,Cara Therapeutics ,1.4236,-24.0119,1.1034898085074094,13.382,13.338,eddyb123
Buy,Cronos Group Inc,1.4236,-52.9814,0.6827986181534639,4.8243,4.8057,eddyb123
Buy,Uber,2.6693,-3.4664,2.6284673984775115,42.0979,42.0122,eddyb123
Buy,PayPal Holdings,2.6693,-18.3988,2.221880495607859,188.8798,188.5002,eddyb123
Buy,Advanced Micro Devices Inc,2.1354,25.1743,2.726653217497659,158.0721,157.7779,eddyb123
Buy,Salesforce.com Inc,5.3386,-4.0271,5.226403931890967,289.4903,288.8199,eddyb123
Buy,"Square, Inc.",1.7795,-16.3965,1.5176001966964965,215.9242,215.4359,eddyb123
Buy,SolarEdge Technologies,2.6693,-0.8415,2.699940809433771,348.7636,347.8565,eddyb123
Buy,Tencent,1.7795,3.4565,1.8779814933760666,478.63,477.57,eddyb123
Buy,SPDR Gold,4.8403,3.8047,5.125301779381684,167.2704,166.9596,eddyb123
Buy,iShares Core FTSE 100 UCITS ETF (Dist),3.559,5.4413,3.8280180139932267,717.24,715.76,eddyb123
Sell,Invesco China Technology ETF,3.559,9.5342,3.976612223513411,68.4916,68.2985,eddyb123
Buy,CyberArk,1.7795,20.5756,2.1887331468899096,174.9373,174.5328,eddyb123
Buy,Mandiant Inc,2.6693,1.0272,2.7508263675125257,17.1955,17.1545,eddyb123
Buy,Atlassian Corp PLC A,1.7795,-13.0843,1.5777248218916857,393.3937,392.4965,eddyb123
Buy,Tencent Music Entertainment Group,1.7795,-7.3657,1.6815299068762046,7.4367,7.4133,eddyb123
Buy,Fiverr International ,1.7795,-13.0013,1.5792318312037799,145.641,145.2092,eddyb123
Buy,Douyu ,2.1354,-10.2834,1.9542801840522752,2.9226,2.9074,eddyb123
Buy,Cloudflare,3.559,1.8019,3.6958919164783297,197.4475,196.9925,eddyb123
Buy,Peloton Interactive,1.7795,-50.9168,0.8909758407651885,43.9495,43.8605,eddyb123
Buy,Sumo Logic Inc. ,1.7795,-15.5974,1.5321065844707904,14.3729,14.3271,eddyb123
Buy,Snowflake Inc.,1.7795,53.2355,2.781587575192396,355.98,354.8803,eddyb123
Buy,Oatly Group AB,1.7795,-24.6543,1.3677012042824468,9.8388,9.8012,eddyb123
Buy,Ethereum,1.9574,42.7495,2.8503654398705898,4327.95,4246.5171,eddyb123
Buy,Cardano,2.1478,-20.6612,1.7382762935117266,1.6486,1.6005,eddyb123
Buy,Amazon,5.3903,8.6467,5.820091773200576,3583.6524,3575.9687,robertmerc
Buy,Vale SA,2.188,-8.0318,1.9998088958518196,12.7314,12.6986,robertmerc
Buy,Las Vegas Sands Corp,3.116,-16.0622,2.599350575564531,40.086,39.984,robertmerc
Buy,Nokia Oyj,2.1946,34.0326,2.923320000610766,5.7652,5.7448,robertmerc
